Train/Test Split	Grade	Subtype	Subtype+grade	SCNN	SCNN w/o resampling	GSCNN	SCNN+subtype
1	0.72106	0.72556	0.74658	0.74058	0.69586	0.78083	0.77037
2	0.72569	0.75291	0.78244	0.78514	0.67931	0.8207	0.78514
3	0.71828	0.70903	0.74676	0.70651	0.69687	0.74233	0.74371
4	0.74297	0.74264	0.7751	0.75413	0.70085	0.80554	0.79328
5	0.70782	0.7338	0.75744	0.73978	0.66906	0.77527	0.76229
6	0.74867	0.74496	0.77277	0.74132	0.7106	0.76831	0.76067
7	0.79168	0.76808	0.8143	0.78881	0.71436	0.80079	0.82203
8	0.74235	0.75706	0.78962	0.76694	0.74083	0.82317	0.80612
9	0.79789	0.78777	0.82303	0.77306	0.69259	0.84084	0.81842
10	0.76301	0.7523	0.79179	0.75967	0.68742	0.81505	0.80937
11	0.74464	0.75251	0.77421	0.72353	0.69421	0.76872	0.77834
12	0.75172	0.72575	0.7508	0.75619	0.70129	0.75837	0.76858
13	0.73488	0.74586	0.77128	0.75381	0.69354	0.80177	0.79045
14	0.76515	0.73827	0.78266	0.75326	0.65641	0.78529	0.77902
15	0.74965	0.7683	0.7697	0.77623	0.73166	0.82083	0.80547
							
Location	Figure 3	Figure 3	Figure 3	Figure 3	Figure 3	Figure 4	Figure 4
